file_name	submitted_name	project	machine_type	pcnt_optical_duplicates	clusters	read_length	experiment_type	run_date
HFYYTDSXX_18804116_S102_L002_R1_001.fastq.gz	MF_1	Brooks ABCA4_RPE	NovaSeq6000_S4	3.27	98841813	151		16-APR-19
HFYYTDSXX_18804116_S102_L002_R2_001.fastq.gz	MF_1	Brooks ABCA4_RPE	NovaSeq6000_S4	3.27	98841813	151		16-APR-19
HFYYTDSXX_18804118_S122_L002_R1_001.fastq.gz	MF_2	Brooks ABCA4_RPE	NovaSeq6000_S4	3.62	117407521	151		16-APR-19
HFYYTDSXX_18804118_S122_L002_R2_001.fastq.gz	MF_2	Brooks ABCA4_RPE	NovaSeq6000_S4	3.62	117407521	151		16-APR-19
HFYYTDSXX_18804120_S113_L002_R1_001.fastq.gz	MF_3	Brooks ABCA4_RPE	NovaSeq6000_S4	3.18	107062837	151		16-APR-19
HFYYTDSXX_18804120_S113_L002_R2_001.fastq.gz	MF_3	Brooks ABCA4_RPE	NovaSeq6000_S4	3.18	107062837	151		16-APR-19
HFYYTDSXX_18804122_S118_L002_R1_001.fastq.gz	MF_4	Brooks ABCA4_RPE	NovaSeq6000_S4	3.26	101989925	151		16-APR-19
HFYYTDSXX_18804122_S118_L002_R2_001.fastq.gz	MF_4	Brooks ABCA4_RPE	NovaSeq6000_S4	3.26	101989925	151		16-APR-19
HFYYTDSXX_18804124_S121_L002_R1_001.fastq.gz	MF_5	Brooks ABCA4_RPE	NovaSeq6000_S4	3.44	114391903	151		16-APR-19
HFYYTDSXX_18804124_S121_L002_R2_001.fastq.gz	MF_5	Brooks ABCA4_RPE	NovaSeq6000_S4	3.44	114391903	151		16-APR-19
HFYYTDSXX_18804126_S105_L002_R1_001.fastq.gz	MF_6	Brooks ABCA4_RPE	NovaSeq6000_S4	3.64	109903675	151		16-APR-19
HFYYTDSXX_18804126_S105_L002_R2_001.fastq.gz	MF_6	Brooks ABCA4_RPE	NovaSeq6000_S4	3.64	109903675	151		16-APR-19
HFYYTDSXX_18804128_S104_L002_R1_001.fastq.gz	MF_7	Brooks ABCA4_RPE	NovaSeq6000_S4	3.42	92714745	151		16-APR-19
HFYYTDSXX_18804128_S104_L002_R2_001.fastq.gz	MF_7	Brooks ABCA4_RPE	NovaSeq6000_S4	3.42	92714745	151		16-APR-19
HFYYTDSXX_18804130_S101_L002_R1_001.fastq.gz	MF_8	Brooks ABCA4_RPE	NovaSeq6000_S4	3.89	130711295	151		16-APR-19
HFYYTDSXX_18804130_S101_L002_R2_001.fastq.gz	MF_8	Brooks ABCA4_RPE	NovaSeq6000_S4	3.89	130711295	151		16-APR-19
HFYYTDSXX_18804132_S110_L002_R1_001.fastq.gz	MF_9	Brooks ABCA4_RPE	NovaSeq6000_S4	3.41	101258749	151		16-APR-19
HFYYTDSXX_18804132_S110_L002_R2_001.fastq.gz	MF_9	Brooks ABCA4_RPE	NovaSeq6000_S4	3.41	101258749	151		16-APR-19
HFYYTDSXX_18804142_S125_L002_R1_001.fastq.gz	MF_10	Brooks ABCA4_RPE	NovaSeq6000_S4	3.38	109072324	151		16-APR-19
HFYYTDSXX_18804142_S125_L002_R2_001.fastq.gz	MF_10	Brooks ABCA4_RPE	NovaSeq6000_S4	3.38	109072324	151		16-APR-19
HFYYTDSXX_18804134_S103_L002_R1_001.fastq.gz	MF_11	Brooks ABCA4_RPE	NovaSeq6000_S4	3.20	95144554	151		16-APR-19
HFYYTDSXX_18804134_S103_L002_R2_001.fastq.gz	MF_11	Brooks ABCA4_RPE	NovaSeq6000_S4	3.20	95144554	151		16-APR-19
HFYYTDSXX_18804136_S116_L002_R1_001.fastq.gz	MF_12	Brooks ABCA4_RPE	NovaSeq6000_S4	3.45	114378370	151		16-APR-19
HFYYTDSXX_18804136_S116_L002_R2_001.fastq.gz	MF_12	Brooks ABCA4_RPE	NovaSeq6000_S4	3.45	114378370	151		16-APR-19
HFYYTDSXX_18804138_S120_L002_R1_001.fastq.gz	MF_13	Brooks ABCA4_RPE	NovaSeq6000_S4	3.24	105771477	151		16-APR-19
HFYYTDSXX_18804138_S120_L002_R2_001.fastq.gz	MF_13	Brooks ABCA4_RPE	NovaSeq6000_S4	3.24	105771477	151		16-APR-19
HFYYTDSXX_18804140_S106_L002_R1_001.fastq.gz	MF_14	Brooks ABCA4_RPE	NovaSeq6000_S4	3.65	117962774	151		16-APR-19
HFYYTDSXX_18804140_S106_L002_R2_001.fastq.gz	MF_14	Brooks ABCA4_RPE	NovaSeq6000_S4	3.65	117962774	151		16-APR-19

