study_id	sample_id
mitra	HFYYTDSXX_18804116_S102_L002
mitra	HFYYTDSXX_18804118_S122_L002
mitra	HFYYTDSXX_18804120_S113_L002
mitra	HFYYTDSXX_18804122_S118_L002
mitra	HFYYTDSXX_18804124_S121_L002
mitra	HFYYTDSXX_18804126_S105_L002
mitra	HFYYTDSXX_18804128_S104_L002
mitra	HFYYTDSXX_18804130_S101_L002
mitra	HFYYTDSXX_18804132_S110_L002
mitra	HFYYTDSXX_18804142_S125_L002
mitra	HFYYTDSXX_18804134_S103_L002
mitra	HFYYTDSXX_18804136_S116_L002
mitra	HFYYTDSXX_18804138_S120_L002
mitra	HFYYTDSXX_18804140_S106_L002
dominik	DR01_H25TMDSX2_19148166_S45_L002
dominik	DR05_H25TMDSX2_19148174_S35_L002
dominik	DR09_H25TMDSX2_19148182_S42_L002
qin	Control_1_H25TMDSX2_19151298_S47_L002
qin	Control_2_H25TMDSX2_19151296_S19_L002
qin	Control_3_H25TMDSX2_19151300_S41_L002
davide	HLLMCDSXY_19079793_S130_L004
davide	HLLMCDSXY_19079795_S136_L004
davide	HLLMCDSXY_19079797_S123_L004
davide	HLLMCDSXY_19079763_S125_L004
davide	HLLMCDSXY_19079765_S140_L004
davide	HLLMCDSXY_19079767_S138_L004
davide	HLLMCDSXY_19079781_S122_L004
davide	HLLMCDSXY_19079783_S119_L004
davide	HLLMCDSXY_19079785_S127_L004
ruchi	HM7FMBBXX_16496360_S56_L005
ruchi	HMLLWBBXX_16496360_S69_L008
ruchi	HMLLWBBXX_16496360_S69_L006
ruchi	HMLLWBBXX_16496360_S69_L007
ruchi	HMLLWBBXX_16496357_S66_L007
ruchi	HM7FMBBXX_16496357_S53_L005
ruchi	HMLLWBBXX_16496357_S66_L006
ruchi	HMLLWBBXX_16496357_S66_L008
ruchi	HM7FMBBXX_16496358_S54_L005
ruchi	HMLLWBBXX_16496358_S67_L008
ruchi	HMLLWBBXX_16496358_S67_L007
ruchi	HMLLWBBXX_16496358_S67_L006
ruchi	HMLLWBBXX_16496348_S57_L007
ruchi	HMLLWBBXX_16496348_S57_L006
ruchi	HM7FMBBXX_16496348_S44_L005
ruchi	HMLLWBBXX_16496348_S57_L008
ruchi	HM7FMBBXX_16496356_S52_L005
ruchi	HMLLWBBXX_16496356_S65_L007
ruchi	HMLLWBBXX_16496356_S65_L006
ruchi	HMLLWBBXX_16496356_S65_L008
ruchi	HM7FMBBXX_16496347_S43_L005
ruchi	HMLLWBBXX_16496347_S56_L007
ruchi	HMLLWBBXX_16496347_S56_L008
ruchi	HMLLWBBXX_16496347_S56_L006
karla	HM7HWBBXX_16424738_S49_L006
karla	HM7HWBBXX_16424738_S49_L007
karla	HM7FMBBXX_16424738_S58_L007
karla	HM7MVBBXX_16424738_S60_L008
karla	HM7HWBBXX_16424742_S53_L007
karla	HM7FMBBXX_16424742_S62_L007
karla	HM7HWBBXX_16424742_S53_L006
karla	HM7MVBBXX_16424742_S64_L008
karla	HM7MVBBXX_16424753_S75_L008
karla	HM7HWBBXX_16424753_S64_L007
karla	HM7HWBBXX_16424753_S64_L006
karla	HM7FMBBXX_16424753_S73_L007
karla	HM7MVBBXX_16424743_S65_L008
karla	HM7HWBBXX_16424743_S54_L006
karla	HM7HWBBXX_16424743_S54_L007
karla	HM7FMBBXX_16424743_S63_L007
ruchi	HMLLWBBXX_16496352_S61_L006
ruchi	HMLLWBBXX_16496352_S61_L008
ruchi	HM7FMBBXX_16496352_S48_L005
ruchi	HMLLWBBXX_16496352_S61_L007
ruchi	HM7FMBBXX_16496359_S55_L005
ruchi	HMLLWBBXX_16496359_S68_L006
ruchi	HMLLWBBXX_16496359_S68_L008
ruchi	HMLLWBBXX_16496359_S68_L007
ruchi	HM7FMBBXX_16496355_S51_L005
ruchi	HMLLWBBXX_16496355_S64_L008
ruchi	HMLLWBBXX_16496355_S64_L007
ruchi	HMLLWBBXX_16496355_S64_L006
ruchi	HMLLWBBXX_16496341_S50_L008
ruchi	HMLLWBBXX_16496341_S50_L007
ruchi	HMLLWBBXX_16496341_S50_L006
ruchi	HM7FMBBXX_16496341_S37_L005
ruchi	HMLLWBBXX_16496346_S55_L006
ruchi	HM7FMBBXX_16496346_S42_L005
ruchi	HMLLWBBXX_16496346_S55_L008
ruchi	HMLLWBBXX_16496346_S55_L007
ruchi	HMLLWBBXX_16496345_S54_L007
ruchi	HM7FMBBXX_16496345_S41_L005
ruchi	HMLLWBBXX_16496345_S54_L006
ruchi	HMLLWBBXX_16496345_S54_L008
dominik	DR02_H25TMDSX2_19148168_S36_L002
dominik	DR03_H25TMDSX2_19148170_S48_L002
dominik	DR04_H25TMDSX2_19148172_S44_L002
dominik	DR06_H25TMDSX2_19148176_S46_L002
dominik	DR07_H25TMDSX2_19148178_S43_L002
dominik	DR08_H25TMDSX2_19148180_S37_L002
dominik	DR10_H25TMDSX2_19148184_S31_L002
dominik	DR11_H25TMDSX2_19148186_S25_L002
dominik	DR12_H25TMDSX2_19148188_S23_L002
dominik	DR13_H25TMDSX2_19148190_S33_L002
dominik	DR14_H25TMDSX2_19148192_S40_L002
dominik	DR15_H25TMDSX2_19148194_S29_L002
dominik	DR16_H25TMDSX2_19148196_S24_L002
dominik	DR17_H25TMDSX2_19148156_S22_L002
dominik	DR18_H25TMDSX2_19148158_S21_L002
dominik	DR19_H25TMDSX2_19148160_S38_L002
dominik	DR20_H25TMDSX2_19148162_S27_L002
dominik	DR21_H25TMDSX2_19148164_S34_L002
dominik	DR22_H25TMDSX2_19148198_S26_L002
dominik	DR23_H25TMDSX2_19148200_S32_L002
dominik	DR24_H25TMDSX2_19148202_S28_L002
qin	Drug_1_H25TMDSX2_19151304_S39_L002
qin	Drug_2_H25TMDSX2_19151294_S30_L002
qin	Drug_3_H25TMDSX2_19151302_S20_L002
davide	HLLMCDSXY_19079799_S141_L004
davide	HLLMCDSXY_19079801_S132_L004
davide	HLLMCDSXY_19079803_S124_L004
davide	HLLMCDSXY_19079805_S131_L004
davide	HLLMCDSXY_19079759_S129_L004
davide	HLLMCDSXY_19079761_S134_L004
davide	HLLMCDSXY_19079769_S128_L004
davide	HLLMCDSXY_19079771_S126_L004
davide	HLLMCDSXY_19079773_S133_L004
davide	HLLMCDSXY_19079775_S139_L004
davide	HLLMCDSXY_19079777_S121_L004
davide	HLLMCDSXY_19079779_S137_L004
davide	HLLMCDSXY_19079787_S120_L004
davide	HLLMCDSXY_19079789_S144_L004
davide	HLLMCDSXY_19079791_S135_L004
davide	HLLMCDSXY_19079807_S142_L004
davide	HLLMCDSXY_19079809_S145_L004
davide	HLLMCDSXY_19079811_S143_L004
irina	A1_02
irina	A1_03
irina	B2_02
irina	B2_03
irina	C3_02
irina	C3_03
irina	D4_02
irina	D4_03
irina	E5_02
irina	E5_03
irina	F6_02
irina	F6_03
irina	G7_02
irina	G7_03
irina	H8_02
irina	H8_03
karla	HM7MVBBXX_16424747_S69_L008
karla	HM7HWBBXX_16424747_S58_L006
karla	HM7FMBBXX_16424747_S67_L007
karla	HM7HWBBXX_16424747_S58_L007
karla	HM7FMBBXX_16424754_S74_L007
karla	HM7HWBBXX_16424754_S65_L007
karla	HM7MVBBXX_16424754_S76_L008
karla	HM7HWBBXX_16424754_S65_L006
karla	HM7HWBBXX_16424741_S52_L006
karla	HM7MVBBXX_16424741_S63_L008
karla	HM7HWBBXX_16424741_S52_L007
karla	HM7FMBBXX_16424741_S61_L007
karla	HM7FMBBXX_16424744_S64_L007
karla	HM7HWBBXX_16424744_S55_L007
karla	HM7MVBBXX_16424744_S66_L008
karla	HM7HWBBXX_16424744_S55_L006
karla	HM7HWBBXX_16424750_S61_L006
karla	HM7HWBBXX_16424750_S61_L007
karla	HM7FMBBXX_16424750_S70_L007
karla	HM7MVBBXX_16424750_S72_L008
karla	HM7HWBBXX_16424748_S59_L006
karla	HM7FMBBXX_16424748_S68_L007
karla	HM7MVBBXX_16424748_S70_L008
karla	HM7HWBBXX_16424748_S59_L007
karla	HM7HWBBXX_16424751_S62_L007
karla	HM7FMBBXX_16424751_S71_L007
karla	HM7MVBBXX_16424751_S73_L008
karla	HM7HWBBXX_16424751_S62_L006
karla	HM7HWBBXX_16424749_S60_L006
karla	HM7MVBBXX_16424749_S71_L008
karla	HM7FMBBXX_16424749_S69_L007
karla	HM7HWBBXX_16424749_S60_L007
aman	HM7HWBBXX_16424745_S56_L006
aman	HM7FMBBXX_16424745_S65_L007
aman	HM7MVBBXX_16424745_S67_L008
aman	HM7HWBBXX_16424745_S56_L007
aman	HM7HWBBXX_16424739_S50_L007
aman	HM7MVBBXX_16424739_S61_L008
aman	HM7FMBBXX_16424739_S59_L007
aman	HM7HWBBXX_16424739_S50_L006
aman	HM7HWBBXX_16424752_S63_L006
aman	HM7HWBBXX_16424752_S63_L007
aman	HM7MVBBXX_16424752_S74_L008
aman	HM7FMBBXX_16424752_S72_L007
aman	HM7FMBBXX_16424740_S60_L007
aman	HM7HWBBXX_16424740_S51_L006
aman	HM7MVBBXX_16424740_S62_L008
aman	HM7HWBBXX_16424740_S51_L007
aman	HM7MVBBXX_16424746_S68_L008
aman	HM7HWBBXX_16424746_S57_L006
aman	HM7HWBBXX_16424746_S57_L007
aman	HM7FMBBXX_16424746_S66_L007
ruchi	HMLLWBBXX_16496361_S70_L008
ruchi	HMLLWBBXX_16496361_S70_L007
ruchi	HMLLWBBXX_16496361_S70_L006
ruchi	HM7FMBBXX_16496361_S57_L005
ruchi	HMLLWBBXX_16496344_S53_L008
ruchi	HMLLWBBXX_16496344_S53_L006
ruchi	HM7FMBBXX_16496344_S40_L005
ruchi	HMLLWBBXX_16496344_S53_L007
ruchi	HMLLWBBXX_16496350_S59_L007
ruchi	HMLLWBBXX_16496350_S59_L006
ruchi	HMLLWBBXX_16496350_S59_L008
ruchi	HM7FMBBXX_16496350_S46_L005
ruchi	HMLLWBBXX_16496351_S60_L007
ruchi	HMLLWBBXX_16496351_S60_L008
ruchi	HM7FMBBXX_16496351_S47_L005
ruchi	HMLLWBBXX_16496351_S60_L006
ruchi	HM7FMBBXX_16496353_S49_L005
ruchi	HMLLWBBXX_16496353_S62_L008
ruchi	HMLLWBBXX_16496353_S62_L007
ruchi	HMLLWBBXX_16496353_S62_L006
ruchi	HM7FMBBXX_16496349_S45_L005
ruchi	HMLLWBBXX_16496349_S58_L006
ruchi	HMLLWBBXX_16496349_S58_L008
ruchi	HMLLWBBXX_16496349_S58_L007
ruchi	HMLLWBBXX_16496354_S63_L008
ruchi	HM7FMBBXX_16496354_S50_L005
ruchi	HMLLWBBXX_16496354_S63_L006
ruchi	HMLLWBBXX_16496354_S63_L007
ruchi	HMLLWBBXX_16496343_S52_L007
ruchi	HM7FMBBXX_16496343_S39_L005
ruchi	HMLLWBBXX_16496343_S52_L006
ruchi	HMLLWBBXX_16496343_S52_L008
ruchi	HMLLWBBXX_16496342_S51_L008
ruchi	HMLLWBBXX_16496342_S51_L007
ruchi	HMLLWBBXX_16496342_S51_L006
ruchi	HM7FMBBXX_16496342_S38_L005
kelcy	kk_10_HCLNKDSX3_19235443_S77_L004
kelcy	kk_11_HCLNKDSX3_19235445_S66_L004
kelcy	kk_12_HCLNKDSX3_19235447_S60_L004
kelcy	kk_13_HCLNKDSX3_19235449_S55_L004
kelcy	kk_14_HCLNKDSX3_19235451_S56_L004
kelcy	kk_15_HCLNKDSX3_19235455_S50_L004
kelcy	kk_16_HCLNKDSX3_19235457_S73_L004
kelcy	kk_17_HCLNKDSX3_19235459_S57_L004
kelcy	kk_18_HCLNKDSX3_19235461_S68_L004
kelcy	kk_19_HCLNKDSX3_19235463_S52_L004
kelcy	kk_1_HCLNKDSX3_19235433_S58_L004
kelcy	kk_20_HCLNKDSX3_19235465_S70_L004
kelcy	kk_21_HCLNKDSX3_19235467_S74_L004
kelcy	kk_22_HCLNKDSX3_19235469_S75_L004
kelcy	kk_23_HCLNKDSX3_19235471_S59_L004
kelcy	kk_24_HCLNKDSX3_19235473_S62_L004
kelcy	kk_25_HCLNKDSX3_19235475_S51_L004
kelcy	kk_26_HCLNKDSX3_19235477_S76_L004
kelcy	kk_27_HCLNKDSX3_19235479_S71_L004
kelcy	kk_28_HCLNKDSX3_19235481_S54_L004
kelcy	kk_29_HCLNKDSX3_19235483_S65_L004
kelcy	kk_2_HCLNKDSX3_19235435_S72_L004
kelcy	kk_30_HCLNKDSX3_19235485_S63_L004
kelcy	kk_3_HCLNKDSX3_19235437_S49_L004
kelcy	kk_4_HCLNKDSX3_19235439_S53_L004
kelcy	kk_5_HCLNKDSX3_19235453_S67_L004
kelcy	kk_6_HCLNKDSX3_19235427_S61_L004
kelcy	kk_7_HCLNKDSX3_19235429_S64_L004
kelcy	kk_8_HCLNKDSX3_19235431_S78_L004
kelcy	kk_9_HCLNKDSX3_19235441_S69_L004
