sample_accession	run_accession	setup
A1_2	A1_02	paired
A1_3	A1_03	paired
B2_2	B2_02	paired
B2_3	B2_03	paired
C3_2	C3_02	paired
C3_3	C3_03	paired
Control_1	Control_1_H25TMDSX2_19151298_S47_L002	paired
Control_2	Control_2_H25TMDSX2_19151296_S19_L002	paired
Control_3	Control_3_H25TMDSX2_19151300_S41_L002	paired
D3C_D0_1	D3C_D0_1__HJLT7DSX3_19270591_S73_L002	paired
D3C_D0_2	D3C_D0_2__HJLT7DSX3_19270593_S92_L002	paired
D3C_D0_3	D3C_D0_3__HJLT7DSX3_19270595_S90_L002	paired
D3C_D11_1	D3C_D11_1__HJLT7DSX3_19270603_S96_L002	paired
D3C_D11_2	D3C_D11_2__HJLT7DSX3_19270605_S84_L002	paired
D3C_D11_3	D3C_D11_3__HJLT7DSX3_19270607_S70_L002	paired
D3C_D21_1	D3C_D21_1__HJLT7DSX3_19270609_S83_L002	paired
D3C_D21_2	D3C_D21_2__HJLT7DSX3_19270611_S68_L002	paired
D3C_D21_3	D3C_D21_3__HJLT7DSX3_19270613_S89_L002	paired
D3C_D25_1	D3C_D25_1__HJLT7DSX3_19270615_S81_L002	paired
D3C_D25_2	D3C_D25_2__HJLT7DSX3_19270617_S102_L002	paired
D3C_D25_3	D3C_D25_3__HJLT7DSX3_19270645_S80_L002	paired
D3C_D2_1	D3C_D2_1__HJLT7DSX3_19270597_S78_L002	paired
D3C_D2_2	D3C_D2_2__HJLT7DSX3_19270599_S67_L002	paired
D3C_D2_3	D3C_D2_3__HJLT7DSX3_19270601_S91_L002	paired
D3C_D40_1	D3C_D40_1__HJLT7DSX3_19270647_S99_L002	paired
D3C_D40_2	D3C_D40_2__HJLT7DSX3_19270649_S77_L002	paired
D3C_D40_3	D3C_D40_3__HJLT7DSX3_19270651_S88_L002	paired
D4_2	D4_02	paired
D4_3	D4_03	paired
DR01	DR01_H25TMDSX2_19148166_S45_L002	paired
DR02	DR02_H25TMDSX2_19148168_S36_L002	paired
DR03	DR03_H25TMDSX2_19148170_S48_L002	paired
DR04	DR04_H25TMDSX2_19148172_S44_L002	paired
DR05	DR05_H25TMDSX2_19148174_S35_L002	paired
DR06	DR06_H25TMDSX2_19148176_S46_L002	paired
DR07	DR07_H25TMDSX2_19148178_S43_L002	paired
DR08	DR08_H25TMDSX2_19148180_S37_L002	paired
DR09	DR09_H25TMDSX2_19148182_S42_L002	paired
DR10	DR10_H25TMDSX2_19148184_S31_L002	paired
DR11	DR11_H25TMDSX2_19148186_S25_L002	paired
DR12	DR12_H25TMDSX2_19148188_S23_L002	paired
DR13	DR13_H25TMDSX2_19148190_S33_L002	paired
DR14	DR14_H25TMDSX2_19148192_S40_L002	paired
DR15	DR15_H25TMDSX2_19148194_S29_L002	paired
DR16	DR16_H25TMDSX2_19148196_S24_L002	paired
DR17	DR17_H25TMDSX2_19148156_S22_L002	paired
DR18	DR18_H25TMDSX2_19148158_S21_L002	paired
DR19	DR19_H25TMDSX2_19148160_S38_L002	paired
DR20	DR20_H25TMDSX2_19148162_S27_L002	paired
DR21	DR21_H25TMDSX2_19148164_S34_L002	paired
DR22	DR22_H25TMDSX2_19148198_S26_L002	paired
DR23	DR23_H25TMDSX2_19148200_S32_L002	paired
DR24	DR24_H25TMDSX2_19148202_S28_L002	paired
Drug_1	Drug_1_H25TMDSX2_19151304_S39_L002	paired
Drug_2	Drug_2_H25TMDSX2_19151294_S30_L002	paired
Drug_3	Drug_3_H25TMDSX2_19151302_S20_L002	paired
E5_2	E5_02	paired
E5_3	E5_03	paired
F6_2	F6_02	paired
F6_3	F6_03	paired
G7_2	G7_02	paired
G7_3	G7_03	paired
H8_2	H8_02	paired
H8_3	H8_03	paired
MF_1	HFYYTDSXX_18804116_S102_L002	paired
MF_2	HFYYTDSXX_18804118_S122_L002	paired
MF_3	HFYYTDSXX_18804120_S113_L002	paired
MF_4	HFYYTDSXX_18804122_S118_L002	paired
MF_5	HFYYTDSXX_18804124_S121_L002	paired
MF_6	HFYYTDSXX_18804126_S105_L002	paired
MF_7	HFYYTDSXX_18804128_S104_L002	paired
MF_8	HFYYTDSXX_18804130_S101_L002	paired
MF_9	HFYYTDSXX_18804132_S110_L002	paired
MF_11	HFYYTDSXX_18804134_S103_L002	paired
MF_12	HFYYTDSXX_18804136_S116_L002	paired
MF_13	HFYYTDSXX_18804138_S120_L002	paired
MF_14	HFYYTDSXX_18804140_S106_L002	paired
MF_10	HFYYTDSXX_18804142_S125_L002	paired
MF_10metformin	HGNTMDSX5_19422326_S73_L002	paired
MF_10metformin	HGNTMDSX5_19422326_S73_L003	paired
MF_1metformin	HGNTMDSX5_19422328_S69_L002	paired
MF_1metformin	HGNTMDSX5_19422328_S69_L003	paired
MF_2metformin	HGNTMDSX5_19422330_S38_L002	paired
MF_2metformin	HGNTMDSX5_19422330_S38_L003	paired
MF_3metformin	HGNTMDSX5_19422332_S78_L002	paired
MF_3metformin	HGNTMDSX5_19422332_S78_L003	paired
MF_4metformin	HGNTMDSX5_19422334_S57_L002	paired
MF_4metformin	HGNTMDSX5_19422334_S57_L003	paired
MF_5metformin	HGNTMDSX5_19422336_S36_L002	paired
MF_5metformin	HGNTMDSX5_19422336_S36_L003	paired
MF_6metformin	HGNTMDSX5_19422338_S33_L002	paired
MF_6metformin	HGNTMDSX5_19422338_S33_L003	paired
MF_7metformin	HGNTMDSX5_19422340_S62_L002	paired
MF_7metformin	HGNTMDSX5_19422340_S62_L003	paired
MF_8metformin	HGNTMDSX5_19422342_S44_L002	paired
MF_8metformin	HGNTMDSX5_19422342_S44_L003	paired
MF_9metformin	HGNTMDSX5_19422344_S85_L002	paired
MF_9metformin	HGNTMDSX5_19422344_S85_L003	paired
MF_11metformin	HGNTMDSX5_19422346_S28_L002	paired
MF_11metformin	HGNTMDSX5_19422346_S28_L003	paired
MF_12metformin	HGNTMDSX5_19422348_S49_L002	paired
MF_12metformin	HGNTMDSX5_19422348_S49_L003	paired
MF_13metformin	HGNTMDSX5_19422350_S83_L002	paired
MF_13metformin	HGNTMDSX5_19422350_S83_L003	paired
MF_14metformin	HGNTMDSX5_19422352_S32_L002	paired
MF_14metformin	HGNTMDSX5_19422352_S32_L003	paired
MF_15metformin	HGNTMDSX5_19422354_S77_L002	paired
MF_15metformin	HGNTMDSX5_19422354_S77_L003	paired
MF_16metformin	HGNTMDSX5_19422356_S31_L002	paired
MF_16metformin	HGNTMDSX5_19422356_S31_L003	paired
MF_17metformin	HGNTMDSX5_19422358_S53_L002	paired
MF_17metformin	HGNTMDSX5_19422358_S53_L003	paired
MF_18metformin	HGNTMDSX5_19422360_S58_L002	paired
MF_18metformin	HGNTMDSX5_19422360_S58_L003	paired
MF_19metformin	HGNTMDSX5_19422362_S51_L002	paired
MF_19metformin	HGNTMDSX5_19422362_S51_L003	paired
MF_20metformin	HGNTMDSX5_19422364_S87_L002	paired
MF_20metformin	HGNTMDSX5_19422364_S87_L003	paired
MF_21metformin	HGNTMDSX5_19422366_S47_L002	paired
MF_21metformin	HGNTMDSX5_19422366_S47_L003	paired
